"","y","w","age","polviews","income","educ","marital","sex"
"1",0,0,28,4,11,14,5,1
"2",1,0,54,6,12,16,2,2
"3",1,0,44,2,12,16,5,2
"6",0,0,47,1,5,10,4,1
"7",0,1,19,4,9,10,5,2
"8",0,0,36,2,8,18,1,1
"9",0,0,27,2,8,17,5,2
"10",1,1,51,5,11,18,3,1
"11",1,0,24,4,12,12,5,2
"13",0,1,25,1,9,11,5,1
"14",0,0,36,1,8,6,3,2
"15",1,0,66,6,7,8,2,2
"16",1,0,63,3,4,10,1,1
"17",0,1,36,3,12,11,5,1
"20",0,0,35,5,12,14,1,2
"21",1,0,71,4.1220088,6,7,2,2
"24",1,0,27,6,12,16,1,2
"26",1,0,67,4,9,12,1,1
"27",1,0,52,6,12,11,1,2
"28",0,0,20,4,12,14,5,1
"29",1,1,29,4,11,12,1,1
"31",0,1,30,5,11,16,4,2
"32",0,1,34,3,12,12,1,2
"33",0,1,46,6,12,14,1,2
"34",0,0,36,4,5,13,5,2
"35",0,0,22,5,12,12,1,2
"36",0,1,22,3,12,15,5,1
"38",0,1,57,4,12,12,1,1
"39",0,1,40,5,12,18,1,2
"40",0,1,58,4,12,12,2,2
"41",1,1,27,6,12,18,1,1
"42",1,0,34,2,12,14,1,1
"44",0,1,30,3,10,16,4,2
"45",0,1,24,4,12,12,5,1
"47",1,1,29,4.1220088,11,12,5,1
"48",0,0,38,3,12,14,1,2
"49",1,0,69,2,9,10,3,2
"51",0,1,42,3,12,16,1,2
"52",0,1,22,4,11,12,5,1
"53",0,1,26,4,12,11,2,1
"54",0,1,28,3,12,15,5,1
"55",0,0,22,4.1220088,9,9,4,1
"56",1,0,49,6,11,10,1,1
"57",0,1,67,5,8,11,2,2
"58",0,1,49,4,12,6,1,1
"59",0,1,63,4,12,14,1,1
"60",0,1,34,2,12,13,1,2
"61",0,1,64,4,10,12,3,1
"62",0,0,31,3,12,20,5,1
"63",0,0,86,4.1220088,5,6,2,2
"64",0,0,22,3,7,15,5,1
"65",0,1,46,4,12,12,1,2
"66",0,1,74,6,8,12,1,2
"67",0,0,41,5,12,12,1,1
"68",0,1,27,3,12,15,5,2
"71",0,1,30,6,12,16,1,1
"72",0,1,23,4,12,17,5,2
"73",0,1,29,5,11,17,1,2
"74",0,0,44,4,12,16,3,2
"75",0,1,70,6,6,7,2,1
"76",0,1,23,4,12,13,5,1
"78",1,0,48,4,12,12,1,1
"79",0,0,44,3,12,18,1,1
"80",0,1,46,3,12,17,2,2
"82",0,1,42,2,11,16,3,2
"83",1,0,60,4,12,16,1,1
"84",0,1,44,4,12,18,3,1
"85",0,1,40,4,11,12,1,2
"86",0,1,27,4,12,13,1,2
"87",0,0,26,4,12,19,1,1
"88",0,1,49,4,11,13,1,1
"89",0,0,56,4.1220088,9,9,3,2
"90",0,1,29,4,12,12,1,1
"91",0,0,62,4,12,6,3,1
"92",0,1,37,2,12,10,1,2
"93",0,0,41,4,12,12,1,2
"94",0,0,77,4,12,12,2,1
"95",0,0,61,4,12,11,5,2
"96",0,1,45,4,12,13,3,2
"98",0,1,72,6,9,9,1,1
"99",0,0,29,3,7,12,5,2
"100",0,0,32,4,12,12,1,2
"101",0,0,51,4,12,12,1,1
"102",0,0,26,4,12,12,5,2
"103",0,0,33,4,12,14,1,1
"104",1,0,68,6,11,10,1,2
"105",0,1,44,6,12,12,1,1
"106",0,0,35,2,9,16,3,1
"107",0,1,32,3,9,12,5,1
"108",1,0,66,5,7,8,5,1
"109",1,1,71,7,5,5,4,2
"110",1,0,46,6,12,5,1,1
"111",0,0,47,4,2,10,3,2
"112",0,0,31,4,10,17,4,1
"113",0,1,54,2,9,9,4,2
"114",0,1,51,4,5,11,4,1
"115",0,1,46,4,3,12,5,2
"116",0,0,73,4,4,8,2,2
"117",0,1,67,4,3,9,4,2
"118",0,0,44,4,4,12,3,2
"119",0,0,52,5,12,16,1,1
"120",0,1,39,5,12,16,1,1
"121",0,1,42,4,12,20,1,1
"122",0,1,42,3,12,17,1,2
"123",1,0,43,6,12,17,1,1
"124",1,0,54,4,12,12,1,2
"125",1,0,37,4,12,12,1,1
"126",0,0,40,5,10,12,3,2
"127",1,1,30,5,12,16,1,1
"128",0,1,29,4,12,15,5,2
"129",0,1,45,3,12,13,1,1
"130",1,0,21,4,12,12,5,1
"131",0,0,27,4,12,12,1,2
"132",0,0,43,3,12,10,3,1
"133",1,0,42,6,12,12,1,2
"134",0,1,43,3,12,17,1,1
"135",0,0,30,5,12,16,1,2
"136",0,1,34,3,12,14,1,1
"137",1,1,38,6,12,16,5,1
"138",0,1,36,5,12,16,1,1
"139",0,0,60,2,8,12,2,2
"140",0,0,77,6,8,16,2,2
"141",0,1,43,4,12,17,5,1
"142",1,0,36,4,12,12,4,2
"143",0,0,63,3,6,3,2,1
"144",0,0,35,4,11,12,3,1
"145",0,0,24,3,10,16,5,2
"146",1,0,63,4,12,12,1,1
"147",0,1,76,2,9,10,2,1
"148",1,0,42,6,12,16,1,2
"149",0,1,76,6,7,16,2,1
"150",1,0,56,4,12,18,1,1
"151",1,0,68,4.1220088,12,12,1,1
"153",0,0,74,6,12,10,2,2
"155",0,1,50,5,12,20,1,1
"156",0,1,64,4,11,13,1,2
"157",0,1,47,4,12,20,1,1
"158",0,1,54,4,12,12,1,2
"160",0,1,42,5,12,16,1,1
"161",0,0,35,4,11,12,1,2
"162",1,0,20,5,12,13,5,2
"163",1,0,27,3,12,12,1,2
"164",1,0,54,7,12,12,4,1
"165",0,1,39,4,10,12,4,2
"166",0,1,44,3,12,17,3,2
"167",0,1,32,4,10,12,3,2
"168",1,1,42,4,12,12,1,2
"169",1,0,70,4,12,12,2,2
"170",0,1,54,4,12,16,5,2
"171",0,1,24,5,9,15,1,2
"172",0,1,40,4,5,9,3,2
"173",0,0,26,3,12,14,1,2
"174",1,0,25,7,12,11,1,1
"175",0,0,32,2,12,12,1,2
